MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSPH
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSPN
0.0859343419145385	0.294	NA	NA	NA	NA	0	0.183908045977011	NA	PSRC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSTK
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSTPIP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PSTPIP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTAFR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTAR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTBP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTBP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCH1
2.26225360293785	0	NA	NA	NA	NA	0	0.0344827586206897	NA	PTCH2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCHD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCHD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTCRA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTDSS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTDSS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTEN
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTENP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTER
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTF1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGDR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGDS
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGER1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGER2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGER3
0.877571961882108	0	NA	NA	NA	NA	0	0.103448275862069	NA	PTGER4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGES
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGES2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGES3
0.0492470058039721	0.354	NA	NA	NA	NA	0	0.827586206896552	NA	PTGFR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGFRN
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGIR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGIS
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTGS1
0.454360515283133	0.004	NA	NA	NA	NA	0	0.873563218390805	NA	PTGS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTH1R
0.0593144057934589	0.313	NA	NA	NA	NA	0	0.160919540229885	NA	PTH2R
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHLH
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTK2B
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTK6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTK7
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTMA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTMS
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTN
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTOV1
0.213396818106564	0.215	NA	NA	NA	NA	0	0.0344827586206897	NA	PTP4A1
0.176149767901841	0.262	NA	NA	NA	NA	0	0.0459770114942529	NA	PTP4A2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTP4A3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPDC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPLA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPLAD1
0.167916556855734	0.074	NA	NA	NA	NA	0	0.735632183908046	NA	PTPLAD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPLB
0.43962433482459	0	NA	NA	NA	NA	0	0.586206896551724	NA	PTPMT1
0.274641456786005	0.286	NA	NA	NA	NA	0	0.977011494252874	NA	PTPN1
0.0775294512466805	0.391	NA	NA	NA	NA	0	0.0689655172413793	NA	PTPN11
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN12
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN13
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN14
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN18
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN20B
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN21
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN22
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN23
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN5
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN6
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPN7
0.247264455331939	0.009	NA	NA	NA	NA	0	0.528735632183908	NA	PTPN9
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRB
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRC
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRCAP
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRD
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRE
NA	NA	NA	NA	NA	NA	NA	NA	NA	PTPRF
