MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	LGR6
NA	NA	NA	NA	NA	NA	NA	NA	NA	LGSN
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHB
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHCGR
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHFP
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHFPL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHFPL3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHFPL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHFPL5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHPP
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHX3
0.122521748208834	0.065	NA	NA	NA	NA	0	0.418079096045198	NA	LHX4
0.0608776545881694	0.225	NA	NA	NA	NA	0	0.497175141242938	NA	LHX5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHX6
0.11032713563213	0.129	NA	NA	NA	NA	0	0.152542372881356	NA	LHX8
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHX9
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIF
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIFR
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIG3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRB3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRB4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LILRB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMCH1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMD1
0.828790842748276	0	NA	NA	NA	NA	0	0.129943502824859	NA	LIMD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIME1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIMS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIN28B
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIN37
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIN52
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIN54
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIN7A
0.829557911609954	0	NA	NA	NA	NA	0	0.0338983050847458	NA	LIN7B
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIN7C
2.53638497386712	0.001	NA	NA	NA	NA	0	0.988700564971751	NA	LIN9
NA	NA	NA	NA	NA	NA	NA	NA	NA	LINGO1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LINGO2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LINGO3
NA	NA	NA	NA	NA	NA	NA	NA	NA	LINGO4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPA
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPC
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPE
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPF
0.146217089668728	0.099	NA	NA	NA	NA	0	0.141242937853107	NA	LIPG
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPH
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPJ
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPK
